日期,所有類別熱度,股票名稱
日期,所有類別熱度,股票名稱
日期,所有類別熱度,股票名稱
2021-06-25,0,台積電
2021-06-26,0,台積電
2021-06-27,14,台積電
2021-06-28,48,台積電
2021-06-29,50,台積電
2021-06-30,53,台積電
2021-07-01,53,台積電
2021-07-02,46,台積電
2021-07-03,15,台積電
2021-07-04,15,台積電
2021-07-05,47,台積電
2021-07-06,51,台積電
2021-07-07,50,台積電
2021-07-08,50,台積電
2021-07-09,52,台積電
2021-07-10,16,台積電
2021-07-11,20,台積電
2021-07-12,78,台積電
2021-07-13,70,台積電
2021-07-14,66,台積電
2021-07-15,96,台積電
2021-07-16,84,台積電
2021-07-17,25,台積電
2021-07-18,18,台積電
2021-07-19,76,台積電
2021-07-20,64,台積電
2021-07-21,58,台積電
2021-07-22,59,台積電
2021-07-23,52,台積電
2021-07-24,12,台積電
2021-07-25,12,台積電
2021-07-26,54,台積電
2021-07-27,38,台積電
2021-07-28,56,台積電
2021-07-29,52,台積電
2021-07-30,41,台積電
2021-07-31,12,台積電
2021-08-01,10,台積電
2021-08-02,47,台積電
2021-08-03,45,台積電
2021-08-04,48,台積電
2021-08-05,45,台積電
2021-08-06,41,台積電
2021-08-07,14,台積電
2021-08-08,12,台積電
2021-08-09,46,台積電
2021-08-10,52,台積電
2021-08-11,49,台積電
2021-08-12,44,台積電
2021-08-13,46,台積電
2021-08-14,13,台積電
2021-08-15,13,台積電
2021-08-16,47,台積電
2021-08-17,51,台積電
2021-08-18,57,台積電
2021-08-19,70,台積電
2021-08-20,61,台積電
2021-08-21,16,台積電
2021-08-22,14,台積電
2021-08-23,71,台積電
2021-08-24,30,台積電
2021-08-25,70,台積電
2021-08-26,73,台積電
2021-08-27,66,台積電
2021-08-28,16,台積電
2021-08-29,16,台積電
2021-08-30,56,台積電
2021-08-31,59,台積電
2021-09-01,67,台積電
2021-09-02,62,台積電
2021-09-03,57,台積電
2021-09-04,14,台積電
2021-09-05,14,台積電
2021-09-06,72,台積電
2021-09-07,75,台積電
2021-09-08,67,台積電
2021-09-09,68,台積電
2021-09-10,57,台積電
2021-09-11,24,台積電
2021-09-12,14,台積電
2021-09-13,59,台積電
2021-09-14,53,台積電
2021-09-15,56,台積電
2021-09-16,54,台積電
2021-09-17,54,台積電
2021-09-18,13,台積電
2021-09-19,14,台積電
2021-09-20,18,台積電
2021-09-21,24,台積電
2021-09-22,62,台積電
2021-09-23,54,台積電
2021-09-24,53,台積電
2021-09-25,13,台積電
2021-09-26,12,台積電
2021-09-27,51,台積電
2021-09-28,53,台積電
2021-09-29,61,台積電
2021-09-30,67,台積電
2021-10-01,63,台積電
2021-10-02,19,台積電
2021-10-03,15,台積電
2021-10-04,53,台積電
2021-10-05,60,台積電
2021-10-06,65,台積電
2021-10-07,56,台積電
2021-10-08,53,台積電
2021-10-09,15,台積電
2021-10-10,9,台積電
2021-10-11,15,台積電
2021-10-12,50,台積電
2021-10-13,51,台積電
2021-10-14,72,台積電
2021-10-15,65,台積電
2021-10-16,19,台積電
2021-10-17,18,台積電
2021-10-18,56,台積電
2021-10-19,58,台積電
2021-10-20,52,台積電
2021-10-21,54,台積電
2021-10-22,49,台積電
2021-10-23,20,台積電
2021-10-24,12,台積電
2021-10-25,47,台積電
2021-10-26,52,台積電
2021-10-27,48,台積電
2021-10-28,52,台積電
2021-10-29,47,台積電
2021-10-30,15,台積電
2021-10-31,11,台積電
2021-11-01,48,台積電
2021-11-02,49,台積電
2021-11-03,40,台積電
2021-11-04,47,台積電
2021-11-05,47,台積電
2021-11-06,15,台積電
2021-11-07,12,台積電
2021-11-08,49,台積電
2021-11-09,74,台積電
2021-11-10,70,台積電
2021-11-11,54,台積電
2021-11-12,48,台積電
2021-11-13,15,台積電
2021-11-14,12,台積電
2021-11-15,44,台積電
2021-11-16,51,台積電
2021-11-17,51,台積電
2021-11-18,46,台積電
2021-11-19,55,台積電
2021-11-20,14,台積電
2021-11-21,11,台積電
2021-11-22,47,台積電
2021-11-23,44,台積電
2021-11-24,45,台積電
2021-11-25,42,台積電
2021-11-26,50,台積電
2021-11-27,16,台積電
2021-11-28,11,台積電
2021-11-29,51,台積電
2021-11-30,48,台積電
2021-12-01,47,台積電
2021-12-02,56,台積電
2021-12-03,46,台積電
2021-12-04,12,台積電
2021-12-05,11,台積電
2021-12-06,47,台積電
2021-12-07,49,台積電
2021-12-08,48,台積電
2021-12-09,49,台積電
2021-12-10,47,台積電
2021-12-11,13,台積電
2021-12-12,12,台積電
2021-12-13,50,台積電
2021-12-14,45,台積電
2021-12-15,45,台積電
2021-12-16,53,台積電
2021-12-17,43,台積電
2021-12-18,12,台積電
2021-12-19,10,台積電
2021-12-20,43,台積電
2021-12-21,46,台積電
2021-12-22,44,台積電
2021-12-23,43,台積電
2021-12-24,37,台積電
2021-12-25,11,台積電
2021-12-26,10,台積電
2021-12-27,47,台積電
2021-12-28,56,台積電
2021-12-29,52,台積電
2021-12-30,53,台積電
2021-12-31,12,台積電
2022-01-01,13,台積電
2022-01-02,17,台積電
2022-01-03,65,台積電
2022-01-04,85,台積電
2022-01-05,68,台積電
2022-01-06,63,台積電
2022-01-07,59,台積電
2022-01-08,19,台積電
2022-01-09,17,台積電
2022-01-10,61,台積電
2022-01-11,55,台積電
2022-01-12,58,台積電
2022-01-13,99,台積電
2022-01-14,73,台積電
2022-01-15,21,台積電
2022-01-16,20,台積電
2022-01-17,65,台積電
2022-01-18,64,台積電
2022-01-19,57,台積電
2022-01-20,59,台積電
2022-01-21,56,台積電
2022-01-22,20,台積電
2022-01-23,14,台積電
2022-01-24,64,台積電
2022-01-25,58,台積電
2022-01-26,48,台積電
2022-01-27,28,台積電
2022-01-28,26,台積電
2022-01-29,13,台積電
2022-01-30,13,台積電
2022-01-31,19,台積電
2022-02-01,21,台積電
2022-02-02,20,台積電
2022-02-03,18,台積電
2022-02-04,18,台積電
2022-02-05,14,台積電
2022-02-06,10,台積電
2022-02-07,47,台積電
2022-02-08,52,台積電
2022-02-09,49,台積電
2022-02-10,56,台積電
2022-02-11,54,台積電
2022-02-12,17,台積電
2022-02-13,14,台積電
2022-02-14,53,台積電
2022-02-15,60,台積電
2022-02-16,56,台積電
2022-02-17,51,台積電
2022-02-18,51,台積電
2022-02-19,18,台積電
2022-02-20,15,台積電
2022-02-21,47,台積電
2022-02-22,47,台積電
2022-02-23,52,台積電
2022-02-24,77,台積電
2022-02-25,75,台積電
2022-02-26,21,台積電
2022-02-27,16,台積電
2022-02-28,23,台積電
2022-03-01,59,台積電
2022-03-02,54,台積電
2022-03-03,54,台積電
2022-03-04,63,台積電
2022-03-05,23,台積電
2022-03-06,16,台積電
2022-03-07,99,台積電
2022-03-08,96,台積電
2022-03-09,89,台積電
2022-03-10,83,台積電
2022-03-11,83,台積電
2022-03-12,22,台積電
2022-03-13,18,台積電
2022-03-14,75,台積電
2022-03-15,100,台積電
2022-03-16,89,台積電
2022-03-17,86,台積電
2020-10-26,0,聯發科
2020-10-27,0,聯發科
2020-10-28,0,聯發科
2020-10-29,0,聯發科
2020-10-30,0,聯發科
2020-10-31,0,聯發科
2020-11-01,0,聯發科
2020-11-02,0,聯發科
2020-11-03,0,聯發科
2020-11-04,0,聯發科
2020-11-05,0,聯發科
2020-11-06,0,聯發科
2020-11-07,0,聯發科
2020-11-08,0,聯發科
2020-11-09,0,聯發科
2020-11-10,0,聯發科
2020-11-11,0,聯發科
2020-11-12,0,聯發科
2020-11-13,0,聯發科
2020-11-14,0,聯發科
2020-11-15,0,聯發科
2020-11-16,0,聯發科
2020-11-17,0,聯發科
2020-11-18,0,聯發科
2020-11-19,0,聯發科
2020-11-20,0,聯發科
2020-11-21,0,聯發科
2020-11-22,0,聯發科
2020-11-23,0,聯發科
2020-11-24,0,聯發科
2020-11-25,0,聯發科
2020-11-26,0,聯發科
2020-11-27,0,聯發科
2020-11-28,0,聯發科
2020-11-29,0,聯發科
2020-11-30,0,聯發科
2020-12-01,0,聯發科
2020-12-02,0,聯發科
2020-12-03,0,聯發科
2020-12-04,0,聯發科
2020-12-05,0,聯發科
2020-12-06,0,聯發科
2020-12-07,0,聯發科
2020-12-08,0,聯發科
2020-12-09,0,聯發科
2020-12-10,0,聯發科
2020-12-11,0,聯發科
2020-12-12,0,聯發科
2020-12-13,0,聯發科
2020-12-14,0,聯發科
2020-12-15,0,聯發科
2020-12-16,0,聯發科
2020-12-17,0,聯發科
2020-12-18,0,聯發科
2020-12-19,0,聯發科
2020-12-20,0,聯發科
2020-12-21,0,聯發科
2020-12-22,0,聯發科
2020-12-23,0,聯發科
2020-12-24,0,聯發科
2020-12-25,0,聯發科
2020-12-26,0,聯發科
2020-12-27,0,聯發科
2020-12-28,0,聯發科
2020-12-29,0,聯發科
2020-12-30,0,聯發科
2020-12-31,0,聯發科
2021-01-01,0,聯發科
2021-01-02,0,聯發科
2021-01-03,0,聯發科
2021-01-04,0,聯發科
2021-01-05,0,聯發科
2021-01-06,0,聯發科
2021-01-07,0,聯發科
2021-01-08,0,聯發科
2021-01-09,0,聯發科
2021-01-10,0,聯發科
2021-01-11,0,聯發科
2021-01-12,0,聯發科
2021-01-13,0,聯發科
2021-01-14,0,聯發科
2021-01-15,0,聯發科
2021-01-16,27,聯發科
2021-01-17,24,聯發科
2021-01-18,49,聯發科
2021-01-19,69,聯發科
2021-01-20,69,聯發科
2021-01-21,100,聯發科
2021-01-22,69,聯發科
2021-01-23,11,聯發科
2021-01-24,13,聯發科
2021-01-25,53,聯發科
2021-01-26,54,聯發科
2021-01-27,81,聯發科
2021-01-28,71,聯發科
2021-01-29,87,聯發科
2021-01-30,17,聯發科
2021-01-31,18,聯發科
2021-02-01,57,聯發科
2021-02-02,74,聯發科
2021-02-03,65,聯發科
2021-02-04,76,聯發科
2021-02-05,63,聯發科
2021-02-06,15,聯發科
2021-02-07,17,聯發科
2021-02-08,20,聯發科
2021-02-09,26,聯發科
2021-02-10,17,聯發科
2021-02-11,5,聯發科
2021-02-12,5,聯發科
2021-02-13,13,聯發科
2021-02-14,11,聯發科
2021-02-15,13,聯發科
2021-02-16,14,聯發科
2021-02-17,53,聯發科
2021-02-18,57,聯發科
2021-02-19,57,聯發科
2021-02-20,26,聯發科
2021-02-21,14,聯發科
2021-02-22,51,聯發科
2021-02-23,50,聯發科
2021-02-24,42,聯發科
2021-02-25,44,聯發科
2021-02-26,56,聯發科
2021-02-27,16,聯發科
2021-02-28,9,聯發科
2021-03-01,10,聯發科
2021-03-02,53,聯發科
2021-03-03,41,聯發科
2021-03-04,48,聯發科
2021-03-05,47,聯發科
2021-03-06,14,聯發科
2021-03-07,7,聯發科
2021-03-08,49,聯發科
2021-03-09,50,聯發科
2021-03-10,60,聯發科
2021-03-11,49,聯發科
2021-03-12,42,聯發科
2021-03-13,12,聯發科
2021-03-14,21,聯發科
2021-03-15,37,聯發科
2021-03-16,58,聯發科
2021-03-17,44,聯發科
2021-03-18,48,聯發科
2021-03-19,33,聯發科
2021-03-20,15,聯發科
2021-03-21,12,聯發科
2021-03-22,45,聯發科
2021-03-23,40,聯發科
2021-03-24,39,聯發科
2021-03-25,71,聯發科
2021-03-26,50,聯發科
2021-03-27,14,聯發科
2021-03-28,7,聯發科
2021-03-29,43,聯發科
2021-03-30,58,聯發科
2021-03-31,51,聯發科
2021-04-01,43,聯發科
2021-04-02,19,聯發科
2021-04-03,10,聯發科
2021-04-04,12,聯發科
2021-04-05,13,聯發科
2021-04-06,65,聯發科
2021-04-07,52,聯發科
2021-04-08,0,聯發科
2021-04-09,0,聯發科
2021-04-10,0,聯發科
2021-04-11,0,聯發科
2021-04-12,0,聯發科
2021-04-13,0,聯發科
2021-04-14,0,聯發科
2021-04-15,0,聯發科
2021-04-16,0,聯發科
2021-04-17,0,聯發科
2021-04-18,0,聯發科
2021-04-19,0,聯發科
2021-04-20,0,聯發科
2021-04-21,0,聯發科
2021-04-22,0,聯發科
2021-04-23,0,聯發科
2021-04-24,0,聯發科
2021-04-25,0,聯發科
2021-04-26,0,聯發科
2021-04-27,0,聯發科
2021-04-28,0,聯發科
2021-04-29,0,聯發科
2021-04-30,0,聯發科
2021-05-01,0,聯發科
2021-05-02,0,聯發科
2021-05-03,0,聯發科
2021-05-04,0,聯發科
2021-05-05,0,聯發科
2021-05-06,0,聯發科
2021-05-07,0,聯發科
2021-05-08,0,聯發科
2021-05-09,0,聯發科
2021-05-10,0,聯發科
2021-05-11,0,聯發科
2021-05-12,0,聯發科
2021-05-13,0,聯發科
2021-05-14,0,聯發科
2021-05-15,0,聯發科
2021-05-16,0,聯發科
2021-05-17,0,聯發科
2021-05-18,0,聯發科
2021-05-19,0,聯發科
2021-05-20,0,聯發科
2021-05-21,0,聯發科
2021-05-22,0,聯發科
2021-05-23,0,聯發科
2021-05-24,0,聯發科
2021-05-25,0,聯發科
2021-05-26,0,聯發科
2021-05-27,0,聯發科
2021-05-28,0,聯發科
2021-05-29,0,聯發科
2021-05-30,0,聯發科
2021-05-31,0,聯發科
2021-06-01,0,聯發科
2021-06-02,0,聯發科
2021-06-03,0,聯發科
2021-06-04,0,聯發科
2021-06-05,0,聯發科
2021-06-06,0,聯發科
2021-06-07,0,聯發科
2021-06-08,0,聯發科
2021-06-09,0,聯發科
2021-06-10,0,聯發科
2021-06-11,0,聯發科
2021-06-12,0,聯發科
2021-06-13,0,聯發科
2021-06-14,0,聯發科
2021-06-15,0,聯發科
2021-06-16,0,聯發科
2021-06-17,0,聯發科
2021-06-18,0,聯發科
2021-06-19,0,聯發科
2021-06-20,0,聯發科
2021-06-21,0,聯發科
2021-06-22,0,聯發科
2021-06-23,0,聯發科
2021-06-24,0,聯發科
2021-06-25,0,聯發科
2021-06-26,0,聯發科
