股票代號
2330
2454
3008
2603
2609
3034
50
2317
2327
2615
2308
6488
2303
6547
3105
8454
3545
3293
2357
3661
2379
3406
5269
8046
4961
6415
6531
8299
6271
2002
6208
5483
56
4968
4743
3037
3138
3711
2492
3443
3228
3006
2049
6669
5871
2881
4919
2636
6533
3374
8016
2912
6589
1101
2404
8086
6732
1256
2458
5904
4966
2027
3552
3529
2727
3680
1590
2882
6121
2637
2474
2884
3714
3227
1476
2014
3481
2412
4938
6510
2375
1301
5347
881
2481
2377
3189
3260
2409
2345
2376
2408
6756
6781
2337
2108
3707
3653
2207
1477
2383
3533
2344
3413
6472
3042
2606
5274
2382
6492
52
6712
2886
6269
6491
8255
2456
2338
6182
8341
4958
6706
4736
1216
3218
9945
6643
3035
3014
2614
6741
6411
3526
1565
1303
2354
2436
6443
1229
6469
6278
6150
3023
5608
6223
2885
3665
8436
3324
2610
6237
2915
3152
2395
3530
692
8069
2618
2231
6116
1210
3045
5609
3169
2892
878
4976
1802
8081
1785
3141
1227
6176
2368
6582
6414
8044
2455
5425
5880
5471
6138
5287
6505
2009
6409
9941
3231
6213
2891
1326
3081
5306
6224
2642
2542
6683
2023
6202
1536
